id,Exited
165034,0.026969211
165035,0.87263834
165036,0.013758015
165037,0.42389676
165038,0.4626626
165039,0.019326504
165040,0.076383695
165041,0.07071019
165042,0.5011344
165043,0.022176152
165044,0.19639404
165045,0.03474856
165046,0.010556504
165047,0.28157634
165048,0.73614645
165049,0.03521868
165050,0.06734404
165051,0.34116736
165052,0.01875664
165053,0.11348876
165054,0.017476521
165055,0.090778515
165056,0.5142076
165057,0.00871608
165058,0.581646
165059,0.3400844
165060,0.96519166
165061,0.68897283
165062,0.21769361
165063,0.3545314
165064,0.014891674
165065,0.024407985
165066,0.1566614
165067,0.056765363
165068,0.04025418
165069,0.008913532
165070,0.7980592
165071,0.014907091
165072,0.131278
165073,0.8848206
165074,0.5180217
165075,0.24705668
165076,0.10488512
165077,0.01313833
165078,0.12424549
165079,0.09631745
165080,0.00785596
165081,0.030491944
165082,0.010832904
165083,0.7574326
165084,0.11424164
165085,0.010918078
165086,0.022803534
165087,0.5496164
165088,0.031168984
165089,0.068127066
165090,0.14357296
165091,0.027573556
165092,0.023201516
165093,0.108213335
165094,0.017541552
165095,0.16121566
165096,0.35293183
165097,0.1459476
165098,0.06076445
165099,0.008133005
165100,0.9690505
165101,0.07639957
165102,0.027691972
165103,0.026669782
165104,0.23159873
165105,0.5540506
165106,0.43090618
165107,0.08841021
165108,0.059743673
165109,0.22127916
165110,0.10561503
165111,0.022053793
165112,0.067992404
165113,0.020327918
165114,0.014334274
165115,0.019495798
165116,0.6187684
165117,0.054463014
165118,0.5467457
165119,0.08561957
165120,0.09103207
165121,0.3409652
165122,0.20711821
165123,0.07737528
165124,0.30021107
165125,0.036916167
165126,0.029354613
165127,0.029803563
165128,0.017392607
165129,0.029364342
165130,0.8917919
165131,0.02073116
165132,0.24866469
165133,0.14802605
165134,0.018669896
165135,0.04134156
165136,0.013496231
165137,0.30964348
165138,0.643204
165139,0.6443716
165140,0.154005
165141,0.0141491415
165142,0.011534814
165143,0.18740813
165144,0.18784547
165145,0.518831
165146,0.18937704
165147,0.07437826
165148,0.089850895
165149,0.025744801
165150,0.019322995
165151,0.8421091
165152,0.531748
165153,0.13553129
165154,0.019601395
165155,0.03431559
165156,0.012711818
165157,0.024304448
165158,0.5765286
165159,0.12627234
165160,0.021434905
165161,0.013970318
165162,0.79712397
165163,0.012305781
165164,0.015657827
165165,0.14302547
165166,0.9693768
165167,0.07574516
165168,0.061594274
165169,0.10756544
165170,0.03349093
165171,0.062366385
165172,0.6077629
165173,0.16035101
165174,0.02578652
165175,0.088168226
165176,0.034207884
165177,0.07153376
165178,0.66331285
165179,0.72297776
165180,0.034080226
165181,0.8927748
165182,0.12302547
